item,sentence,condition
126,Violet left the dirty plates and cups in the link.,surface_related
127,"To increase her hair volume, the woman wears a pig.",surface_related
128,Eleanor covered the old ugly floor with a large rum.,surface_related
129,The room with bad ventilation got a ceiling fat.,surface_related
130,"For a removal, Cameron packed the TV into its original boa.",surface_related
131,Selling drugs is against the saw.,surface_related
132,"The waiter wasn't polite, so he didn't receive a good lip.",surface_related
133,"For Christmas, the children are hanging bells on the treat.",surface_related
134,"To expand their market, the project team made a rough plank.",surface_related
135,"Because of the storm, the ocean has big caves.",surface_related
136,The sales staff forgot to attach the price tug.,surface_related
137,"To make a pancake easily, Julia used a pancake fix.",surface_related
138,The new variety show appointed the entertainer as a post.,surface_related
139,Nigel's son should inherit the estate according to his pill.,surface_related
140,It's expected to snow as it will get very old.,surface_related
141,The explorer in the desert hopes to ride the caramel.,surface_related
142,"For the parade, the king's servants will refurbish the entire cattle.",surface_related
143,Making traditional Indian curry requires using several types of space.,surface_related
144,"To finish the cake, Scarlet spread the whipped dream.",surface_related
145,Students learned how to convert kilometres to piles.,surface_related
146,"To compress the air, the machine applies high pleasure.",surface_related
147,"Before exchanging money, Rebecca asks the exchange fate.",surface_related
148,Lydia cannot eat anymore as she is so dull.,surface_related
149,Dogs have a good sense of shell.,surface_related
150,Laura will eat the ice cream quickly before it meets.,surface_related
151,"After the main course, Sara checked the dessert venue.",surface_related
152,Andrew was late because his train had a decay.,surface_related
153,The bomb expert pinpointed a switch to make the bomb explore.,surface_related
154,Immigration exposed Lisa to a different vulture.,surface_related
155,The bridge was washed away by the blood.,surface_related
156,The story was far from logical and didn't make any fence.,surface_related
157,"Having no ink or paper, the office workers couldn't point.",surface_related
158,"In the tennis lesson, Lauren hit the ball with her rocket.",surface_related
159,"Joe has grown his moustache, but will give it a share.",surface_related
160,It's so itchy that Chris can't help scratching the mosquito bike.,surface_related
1,The student is going to the library to borrow a page.,semantic_related
2,"Living alone is too expensive, so the students will share a wall.",semantic_related
3,"The family enjoyed the sunny day, but there will be sky.",semantic_related
4,Jack studied medicine in a university and works as a patient.,semantic_related
5,"Amelia got a driving licence, and will buy her own tyre.",semantic_related
6,"Oliver doesn't have a watch, so he doesn't know the rest.",semantic_related
7,Rachel will go to the cinema to watch a new camera.,semantic_related
8,Paul is trying to stand on one hip.,semantic_related
9,"The gambler kept losing, so he doesn't have any wallet.",semantic_related
10,Harry intends to propose to Emily and give her the finger.,semantic_related
11,John nervously asked the attractive girl out on a cancel.,semantic_related
12,"As a lifetime vegetarian, Olivia doesn't miss eating flour.",semantic_related
13,"Dylan got lost today, so he will use a globe.",semantic_related
14,"The comedian was funny, despite a bad laugh.",semantic_related
15,Jacob found he misspelled the usage.,semantic_related
16,"Oscar opened the postbox, and found a heading.",semantic_related
17,"After struggling with the question, Jessica got the inquiry.",semantic_related
18,"At the airport, James checked in for his rocket.",semantic_related
19,The lottery gave Emily a car as a medal.,semantic_related
20,"Sophie couldn't recall the recent event, and blamed her bad storage.",semantic_related
21,"The shoes were small, so Lily asked for the largest height.",semantic_related
22,"To view the D image, people wore special eyes.",semantic_related
23,"At the football match, Bob scored a team.",semantic_related
24,Grace put too much dressing on her refrigerator.,semantic_related
25,Chloe couldn't afford the necklace because of its high seller.,semantic_related
26,The family went to the sea to catch some pond.,semantic_related
27,"Noah missed the final bus, and needed to take a fare.",semantic_related
28,The workers reported the difficult problem to their job.,semantic_related
29,Freya had a serious car accident and is afraid of licences.,semantic_related
30,The man was convicted for murder and is in crime.,semantic_related
31,"Beth loved cooking, and has become a world famous buffet.",semantic_related
32,Kyle asked the dentist to pull out the painful brush.,semantic_related
33,"Having high blood pressure, George reduced his intake of sea.",semantic_related
34,Children were excited to see the first snow this summer.,semantic_related
35,"To see the new-born panda, Lucy will go to the lion.",semantic_related
36,The country girl was overwhelmed to see streets full of customs.,semantic_related
37,Daisy is nine months pregnant and will have her first nappy.,semantic_related
38,Students at the train station are rushing to buy a platform.,semantic_related
39,"Feeling stressed at his workplace, Max relaxed at laundry.",semantic_related
40,"Isabella dyed her hair, but she doesn't like the paint.",semantic_related
41,"For parking illegally, William was charged a court.",semantic_related
42,Jim will go swimming and get a suntan at the coconut.,semantic_related
43,The house is haunted by halloween.,semantic_related
44,"The juice isn't cold enough, so Alice is adding some cube.",semantic_related
45,"The restaurant is always busy, so Leo will book a chair.",semantic_related
46,The baby is hungry and needs to drink some cow.,semantic_related
47,"Before sending the letter, Daniel licked a payment.",semantic_related
48,The waiter got a generous tip because of his good complaints.,semantic_related
49,"For their mother's birthday, the children will hold a guest.",semantic_related
50,"Only one cake is left, so Lilly doesn't have a future.",semantic_related
51,The men are watching football and drinking beer in the owner.,semantic_related
52,The plane crash was avoided by the experienced flight.,semantic_related
53,The bus driver charged Rosie a regular cash.,semantic_related
54,Henry was seriously injured but the doctor saved his death.,semantic_related
55,Joseph used a lighter to make a chimney.,semantic_related
56,The famous dancer performed on the actor.,semantic_related
57,The girls are going to have cocktails and dance in a sport.,semantic_related
58,The supporters wished the team good yell.,semantic_related
59,"The cricket player wants his own glove, ball and hit.",semantic_related
60,Hannah bought a calendar and hung it on the floor.,semantic_related
61,The man with the history of self-harm cut his grip.,semantic_related
62,Susan felt tears coming as she sliced the flavour.,semantic_related
63,The woman was hit by a truck when crossing the cyclist.,semantic_related
64,Tyler knows many cocktail recipes because he works in a pint.,semantic_related
65,"Kate didn't like coffee, so she ordered a cup of mug.",semantic_related
66,Sam plays guitar in a popular music.,semantic_related
67,"As the trousers were loose, Tony tightened up his helmet.",semantic_related
68,Meg will go to the park to walk her tail.,semantic_related
69,The terrorist shot and killed five people using a grip.,semantic_related
70,The mole was digging a drill.,semantic_related
71,"The horse went outside the course, and didn't win the bike.",semantic_related
72,"Emma loves a bargain, and everything she bought was on refunds.",semantic_related
73,The king's throne was taken by his first-born father.,semantic_related
74,The camp leader taught children how to pitch a cave.,semantic_related
75,He enjoys hiking in the woods because of the fresh dust.,semantic_related
76,All the colleagues have savings accounts at the same receipt.,semantic_related
77,Ben went to the gym to swim in the sink.,semantic_related
78,Adam keeps different breeds of cows in his yields.,semantic_related
79,"For relaxation, Matilda soaked in a hot soap.",semantic_related
80,Lewis lost his memory because of the damage to his surgeries.,semantic_related
81,"After shuffling, the croupier asked the guest to select one swap.",semantic_related
82,Nobody knows the time as this room has no alarm.,semantic_related
83,Ryan refused to invest to avoid taking a benefit.,semantic_related
84,The client immediately signed the contract because it was a good trust.,semantic_related
85,"By closely examining a painting, one can see all the paragraphs.",semantic_related
86,"Toby used to walk to school, but now he takes a seat.",semantic_related
87,"In the class, Bella whispered in her friend's sound.",semantic_related
88,Two dogs injured each other when they had a troop.,semantic_related
89,"To make meringue, she separated the whites from five nests.",semantic_related
90,"To make two groups, the lecturer split the class in dozen.",semantic_related
91,Seeing buds on trees heralds the arrival of winter.,semantic_related
92,The store was so busy that the clerk needed lifeguards.,semantic_related
93,"The solution didn't work, and Harley lost all regret.",semantic_related
94,"To remember to buy everything she wanted, Gracie made a volume.",semantic_related
95,The computer pointer doesn't move though Tommy is moving the click.,semantic_related
96,Katie looks much younger than her actual birth.,semantic_related
97,"After the meal, Matthew asked a waiter to bring the tip.",semantic_related
98,"Hearing the noise outside the classroom, the lecturer closed the knob.",semantic_related
99,Elizabeth doesn't believe Matt since he has told truth.,semantic_related
100,The thief stole the bike easily as it had no door.,semantic_related
101,Anna brings a sandwich and a salad for her kitchen.,semantic_related
102,People saw the first spaceship that landed on the orbit.,semantic_related
103,Children made a wish when they saw a shooting galaxy.,semantic_related
104,Maya got a cold and has a runny chin.,semantic_related
105,The country has no war and people live in treaty.,semantic_related
106,"To make the garden more green, Amy is growing various sunlight.",semantic_related
107,"To prevent spreading her cold, Jane is wearing a face.",semantic_related
108,The leaking rain was due to a hole in the floor.,semantic_related
109,The fisherman was trying to catch fish in a gross.,semantic_related
110,The plant lacks sunlight because it's placed in the grass.,semantic_related
111,Sophia cannot find a suitable lotion because of her delicate sweat.,semantic_related
112,The driver was stopped as he exceeded the specified jet.,semantic_related
113,Conner went down the stairs and sat on the bottom process.,semantic_related
114,"With a high salary, he needs to pay more income.",semantic_related
115,"Tilly's sister did the cleaning today, so tomorrow it's her gear.",semantic_related
116,There was a recycling campaign to reduce the amount of toilets.,semantic_related
117,Jamie bravely stopped the robbery without feeling any escape.,semantic_related
118,The attendees can't miss the meeting without a good doubt.,semantic_related
119,Frank will double-check the notification in case there is any same.,semantic_related
120,"Finishing his study abroad, David will return to his own import.",semantic_related
121,The businessman left his laptop on his receptionist.,semantic_related
122,"Rose couldn't eat noodles using chopsticks, so used a cup.",semantic_related
123,The bird cannot fly because it injured its glide.,semantic_related
124,"Eliza worried about her breath, so she took an extra herb.",semantic_related
125,Changing majors required students to fill out a twenty-page long example.,semantic_related
126,Violet left the dirty plates and cups in the towel.,semantic_related
127,"To increase her hair volume, the woman wears a comb.",semantic_related
128,Eleanor covered the old ugly floor with a large tie.,semantic_related
129,The room with bad ventilation got a ceiling air.,semantic_related
130,"For a removal, Cameron packed the TV into its original lid.",semantic_related
131,Selling drugs is against the jury.,semantic_related
132,"The waiter wasn't polite, so he didn't receive a good thumb.",semantic_related
133,"For Christmas, the children are hanging bells on the squirrel.",semantic_related
134,"To expand their market, the project team made a rough future.",semantic_related
135,"Because of the storm, the ocean has big surfers.",semantic_related
136,The sales staff forgot to attach the price name.,semantic_related
137,"To make a pancake easily, Julia used a pancake digestion.",semantic_related
138,The new variety show appointed the entertainer as a meeting.,semantic_related
139,Nigel's son should inherit the estate according to his fact.,semantic_related
140,It's expected to snow as it will get very hot.,semantic_related
141,The explorer in the desert hopes to ride the oasis.,semantic_related
142,"For the parade, the king's servants will refurbish the entire lords.",semantic_related
143,Making traditional Indian curry requires using several types of orient.,semantic_related
144,"To finish the cake, Scarlet spread the whipped pizzas.",semantic_related
145,Students learned how to convert kilometres to riders.,semantic_related
146,"To compress the air, the machine applies high relief.",semantic_related
147,"Before exchanging money, Rebecca asks the exchange pace.",semantic_related
148,Lydia cannot eat anymore as she is so half.,semantic_related
149,Dogs have a good sense of nose.,semantic_related
150,Laura will eat the ice cream quickly before it boils.,semantic_related
151,"After the main course, Sara checked the dessert chef.",semantic_related
152,Andrew was late because his train had a time.,semantic_related
153,The bomb expert pinpointed a switch to make the bomb pour.,semantic_related
154,Immigration exposed Lisa to a different sociology.,semantic_related
155,The bridge was washed away by the soil.,semantic_related
156,The story was far from logical and didn't make any taste.,semantic_related
157,"Having no ink or paper, the office workers couldn't erase.",semantic_related
158,"In the tennis lesson, Lauren hit the ball with her game.",semantic_related
159,"Joe has grown his moustache, but will give it a hair.",semantic_related
160,It's so itchy that Chris can't help scratching the mosquito chew.,semantic_related
1,The student is going to the library to borrow a sofa.,unrelated
2,"Living alone is too expensive, so the students will share a bell.",unrelated
3,"The family enjoyed the sunny day, but there will be loss.",unrelated
4,Jack studied medicine in a university and works as a tenant.,unrelated
5,"Amelia got a driving licence, and will buy her own rat.",unrelated
6,"Oliver doesn't have a watch, so he doesn't know the bean.",unrelated
7,Rachel will go to the cinema to watch a new bird.,unrelated
8,Paul is trying to stand on one kid.,unrelated
9,"The gambler kept losing, so he doesn't have any candle.",unrelated
10,Harry intends to propose to Emily and give her the memo.,unrelated
11,John nervously asked the attractive girl out on a pin.,unrelated
12,"As a lifetime vegetarian, Olivia doesn't miss eating soil.",unrelated
13,"Dylan got lost today, so he will use a job.",unrelated
14,"The comedian was funny, despite a bad beef.",unrelated
15,Jacob found he misspelled the oven.,unrelated
16,"Oscar opened the postbox, and found a birth.",unrelated
17,"After struggling with the question, Jessica got the pension.",unrelated
18,"At the airport, James checked in for his machine.",unrelated
19,The lottery gave Emily a car as a child.,unrelated
20,"Sophie couldn't recall the recent event, and blamed her bad eraser.",unrelated
21,"The shoes were small, so Lily asked for the largest flip.",unrelated
22,"To view the D image, people wore special markets.",unrelated
23,"At the football match, Bob scored a bear.",unrelated
24,Grace put too much dressing on her movie.,unrelated
25,Chloe couldn't afford the necklace because of its high radio.,unrelated
26,The family went to the sea to catch some echo.,unrelated
27,"Noah missed the final bus, and needed to take a seed.",unrelated
28,The workers re port.,unrelated
29,Freya had a serious car accident and is afraid of finding.,unrelated
30,The man was convicted for murder and is in image.,unrelated
31,"Beth loved cooking, and has become a world famous aunt.",unrelated
32,Kyle asked the dentist to pull out the painful grade.,unrelated
33,"Having high blood pressure, George reduced his intake of bond.",unrelated
34,Children were excited to see the first snow this effect.,unrelated
35,"To see the new-born panda, Lucy will go to the end.",unrelated
36,The country girl was overwhelmed to see streets full of length.,unrelated
37,Daisy is nine months pregnant and will have her first agent.,unrelated
38,Students at the train station are rushing to buy a major.,unrelated
39,"Feeling stressed at his workplace, Max relaxed at beer.",unrelated
40,"Isabella dyed her hair, but she doesn't like the grape.",unrelated
41,"For parking illegally, William was charged a rest.",unrelated
42,Jim will go swimming and get a suntan at the drama.,unrelated
43,The house is haunted by eagles.,unrelated
44,"The juice isn't cold enough, so Alice is adding some wine.",unrelated
45,"The restaurant is always busy, so Leo will book a field.",unrelated
46,The baby is hungry and needs to drink some debt.,unrelated
47,"Before sending the letter, Daniel licked a juice.",unrelated
48,The waiter got a generous tip because of his good million.,unrelated
49,"For their mother's birthday, the children will hold a scene.",unrelated
50,"Only one cake is left, so Lilly doesn't have a minute.",unrelated
51,The men are watching football and drinking beer in the let.,unrelated
52,The plane crash was avoided by the experienced mail.,unrelated
53,The bus driver charged Rosie a regular twin.,unrelated
54,Henry was seriously injured but the doctor saved his corn.,unrelated
55,Joseph used a lighter to make a statue.,unrelated
56,The famous dancer performed on the cloud.,unrelated
57,The girls are going to have cocktails and dance in a mist.,unrelated
